region,quarter,hpi,approvals,unemp_rate,emp_total,part_rate,emp_yoy_pct,cash_rate,income,wealth,q_dt,hpi_qoq,hpi_yoy,approvals_qoq,approvals_yoy,wealth_qoq,wealth_yoy,income_qoq,income_yoy
melbourne,2008Q1,141.6,9784.0,4.5227779,2639.47180313333,65.2745728333333,,7.125,1109.68,712.0,2008-03-31,,,,,,,,
melbourne,2008Q2,141.2,10811.0,4.45909356666667,2649.66782016667,65.0986835666667,,,1109.68,712.0,2008-06-30,-0.28248587570621764,,10.496729354047417,,0.0,,0.0,
melbourne,2008Q3,138.5,11367.0,4.36581236666667,2655.87017426667,64.8193150666667,,7.0,1109.68,712.0,2008-09-30,-1.9121813031161339,,5.142909999075007,,0.0,,0.0,
melbourne,2008Q4,136.2,9499.0,4.67121786666667,2656.61356693333,64.6598066666667,,5.16666666666667,1109.68,712.0,2008-12-31,-1.6606498194945973,,-16.43353567344066,,0.0,,0.0,
melbourne,2009Q1,133.0,10021.0,5.44912873333333,2653.91810886667,64.7142053333333,0.547318054929913,3.25,1074.3,678.0,2009-03-31,-2.3494860499265746,-6.073446327683607,5.495315296346992,2.422322158626322,-4.7752808988763995,-4.7752808988763995,-3.1883065388220166,-3.1883065388220166
melbourne,2009Q2,140.0,10901.0,5.94842076666667,2655.76388736667,64.7179979666667,0.230069111063758,3.0,1074.3,678.0,2009-06-30,5.263157894736836,-0.8498583569405027,8.781558726673989,0.832485431504959,0.0,-4.7752808988763995,0.0,-3.1883065388220166
melbourne,2009Q3,146.5,14061.0,5.83037373333333,2681.27226923333,64.9216672333333,0.956450929446517,,1074.3,678.0,2009-09-30,4.642857142857149,5.776173285198549,28.988166223282263,23.70018474531539,0.0,-4.7752808988763995,0.0,-3.1883065388220166
melbourne,2009Q4,156.5,14264.0,5.41820593333333,2722.0019685,65.3143201666667,2.46134411043262,3.5,1074.3,678.0,2009-12-31,6.8259385665528916,14.904552129221749,1.4437095512410236,50.16317507106012,0.0,-4.7752808988763995,0.0,-3.1883065388220166
melbourne,2010Q1,167.0,14245.0,5.34150776666667,2737.89440643333,65.3404539333333,3.16423846260003,4.0,1075.9,762.0,2010-03-31,6.709265175718859,25.563909774436098,-0.13320246775098132,42.15148188803512,12.389380530973447,12.389380530973447,0.1489341897049412,0.1489341897049412
melbourne,2010Q2,173.0,15131.0,5.464854,2739.18190503333,65.1957234,3.14101784663468,4.375,1075.9,762.0,2010-06-30,3.592814371257491,23.571428571428577,6.219726219726218,38.803779469773424,0.0,12.389380530973447,0.0,0.1489341897049412
melbourne,2010Q3,177.7,17646.0,5.43320513333333,2762.23184636667,65.5087487333333,3.01944633009921,,1075.9,762.0,2010-09-30,2.7167630057803427,21.29692832764505,16.621505518472013,25.496052912310653,0.0,12.389380530973447,0.0,0.1489341897049412
melbourne,2010Q4,180.0,15716.0,5.1744977,2794.4096169,65.8618237,2.66008802484081,4.75,1075.9,762.0,2010-12-31,1.294316263365225,15.015974440894574,-10.937322906041025,10.179472798653943,0.0,12.389380530973447,0.0,0.1489341897049412
melbourne,2011Q1,175.5,13532.0,4.8622853,2811.02368116667,65.7659625,2.67100420533017,,1098.34,774.0,2011-03-31,-2.500000000000002,5.089820359281427,-13.896665818274368,-5.005265005265002,1.5748031496062964,1.5748031496062964,2.0856956966260665,2.0856956966260665
